player,club_goals_2025_26,country_starts_last_10,source,market_count,market_types,example_matches,example_questions
Granit Xhaka,1,10,Club goals: Wikipedia player/Sunderland 2025-26 stats. Country starts: researched estimate from Switzerland captain role.,2,player_shot_on_target,SUI vs BIH; SUI vs CAN,Will Granit Xhaka have at least 1 shot on target in the second half? | Will Granit Xhaka have at least 1 shot on target?
Harry Kane,55,9,Club goals: Wikipedia 2025-26 Bayern Munich season goals table. Country starts: researched estimate from England captain/striker role.,2,player_goal_or_assist;player_shot_on_target,ENG vs GHA; PAN vs ENG,Will Harry Kane score or assist a goal (excluding own goals)? | Will Harry Kane have at least 1 shot on target?
Ibrahim Sangaré,2,7,Club goals: Wikipedia player career table for Nottingham Forest 2025-26. Country starts: researched estimate from Ivory Coast midfield role.,1,player_shot_on_target,Curacao vs CIV,Will Ibrahim Sangaré have at least 1 shot on target?
Jonathan David,8,9,Club goals: Wikipedia player career table for Juventus 2025-26. Country starts: researched estimate from Canada striker role.,2,player_shot_on_target,CAN vs QAT; SUI vs CAN,Will Jonathan David have at least 1 shot on target in the second half? | Will Jonathan David have at least 1 shot on target?
José Fajardo,16,8,"Club goals: Wikipedia Spanish stats, Universidad Catolica 2025 plus 2026 rows. Country starts: researched estimate from Panama striker role.",2,player_shot_on_target,PAN vs CRO; PAN vs ENG,Will José Fajardo have at least 1 shot on target?
Julio Enciso,10,8,"Club goals: Wikipedia Spanish stats, Strasbourg 2025-26 totals. Country starts: researched estimate from Paraguay attacking role.",2,player_shot_on_target,PAR vs AUS; TUR vs PAR,Will Julio Enciso have at least 1 shot on target?
Leandro Bacuna,3,9,Club goals: Wikipedia player career table for Igdir 2025-26. Country starts: researched estimate from Curacao senior role.,2,player_shot_on_target,Curacao vs CIV; ECU vs Curacao,Will Leandro Bacuna have at least 1 shot on target?
Luis Díaz,26,9,Club goals: Wikipedia/Bayern 2025-26 season goals table. Country starts: researched estimate from Colombia winger role.,2,player_goal;player_goal_or_assist,COL vs COD; COL vs POR,Will Luis Díaz score or assist a goal (excluding own goals)? | Will Luis Díaz score a goal (excluding own goals)?
Luka Sučić,4,4,Club goals: Wikipedia player career table for Real Sociedad 2025-26. Country starts: researched estimate from Croatia rotation/caps.,2,player_shot_on_target,CRO vs GHA; PAN vs CRO,Will Luka Sučić have at least 1 shot on target in the second half? | Will Luka Sučić have at least 1 shot on target?
Mahmoud Trezeguet,15,8,Club goals: Wikipedia 2025-26 Al Ahly season top scorer. Country starts: researched estimate from Egypt winger role.,2,player_goal_or_assist;player_shot_on_target,EGY vs IRN; New Zealand vs EGY,Will Mahmoud Trezeguet have at least 1 shot on target? | Will Mahmoud Trezeguet score or assist a goal (excluding own goals)?
Marcel Sabitzer,1,9,Club goals: Wikipedia player career table for Borussia Dortmund 2025-26. Country starts: researched estimate from Austria midfield role.,2,player_shot_on_target,ALG vs AUT; ARG vs AUT,Will Marcel Sabitzer have at least 1 shot on target?
Mehdi Taremi,16,9,Club goals: Wikipedia player career table for Olympiacos 2025-26. Country starts: researched estimate from Iran striker role.,2,player_goal_or_assist;player_shot_on_target,BEL vs IRN; EGY vs IRN,Will Mehdi Taremi score or assist a goal (excluding own goals)? | Will Mehdi Taremi have at least 1 shot on target?
Mohanad Ali,6,8,Club goals: FourFourTwo Iraq World Cup squad notes Dibba league goals. Country starts: researched estimate from Iraq striker role.,2,player_goal_or_assist;player_shot_on_target,FRA vs IRQ; SEN vs IRQ,Will Mohanad Ali have at least 1 shot on target? | Will Mohanad Ali score or assist a goal (excluding own goals)?
Mousa Al-Taamari,5,9,Club goals: Wikipedia player career table for Rennes 2025-26. Country starts: researched estimate from Jordan star winger role.,2,player_goal_or_assist;player_shot_on_target,JOR vs ALG; JOR vs ARG,Will Mousa Al-Taamari have at least 1 shot on target? | Will Mousa Al-Taamari score or assist a goal (excluding own goals)?
Orkun Kökçü,9,8,Club goals: Wikipedia player/Beşiktaş 2025-26 stats. Country starts: researched estimate from Turkey midfield role.,2,player_goal_or_assist;player_shot_on_target,TUR vs PAR; TUR vs USA,Will Orkun Kökçü have at least 1 shot on target? | Will Orkun Kökçü score or assist a goal (excluding own goals)?
Oswin Appollis,7,7,Club goals: Wikipedia player page for Orlando Pirates 2025-26. Country starts: researched estimate from South Africa attacking role.,2,player_goal_or_assist;player_shot_on_target,CZE vs RSA; RSA vs KOR,Will Oswin Appollis score or assist a goal (excluding own goals)? | Will Oswin Appollis have at least 1 shot on target?
Patrik Schick,22,8,Club goals: Wikipedia player/Bayer Leverkusen 2025-26 stats. Country starts: researched estimate from Czech striker role.,2,player_shot_on_target,CZE vs MEX; CZE vs RSA,Will Patrik Schick have at least 1 shot on target?
Riyad Mahrez,5,8,Club goals: Wikipedia 2025-26 Al-Ahli Saudi season goals table. Country starts: researched estimate from Algeria captain/winger role.,1,player_shot_on_target,JOR vs ALG,Will Riyad Mahrez have at least 1 shot on target in the second half?
Ryan Mendes,2,9,Club goals: Wikipedia player page for Igdir 2025-26. Country starts: researched estimate from Cape Verde captain role.,1,player_goal_or_assist,CPV vs KSA,Will Ryan Mendes score or assist a goal (excluding own goals)?
Sadio Mané,11,8,Club goals: Wikipedia 2025-26 Al-Nassr season goals table. Country starts: researched estimate from Senegal forward role.,2,player_goal;player_shot_on_target,NOR vs SEN; SEN vs IRQ,Will Sadio Mané score a goal (excluding own goals)? | Will Sadio Mané have at least 1 shot on target in the second half?
Salem Al-Dawsari,5,9,Club goals: Wikipedia 2025-26 Al Hilal season goals table. Country starts: researched estimate from Saudi captain/winger role.,2,player_goal,CPV vs KSA; ESP vs KSA,Will Salem Al-Dawsari score a goal (excluding own goals)?
Scott McTominay,13,10,Club goals: Wikipedia player career table for Napoli 2025-26. Country starts: researched estimate from Scotland midfield role.,2,player_shot_on_target,SCO vs BRA; SCO vs MAR,Will Scott McTominay have at least 1 shot on target?
Son Heung-min,14,9,Club goals: Wikipedia player career table for LAFC 2025-26/2026 entries. Country starts: researched estimate from South Korea captain role.,2,player_goal_or_assist;player_shot_on_target,MEX vs KOR; RSA vs KOR,Will Son Heung-min score or assist a goal (excluding own goals)? | Will Son Heung-min have at least 1 shot on target?
Takefusa Kubo,5,7,"Club goals: Wikipedia Real Sociedad/player page, exact 2025-26 split limited; conservative researched estimate. Country starts: researched estimate from Japan winger rotation.",2,player_goal_or_assist;player_shot_on_target,JPN vs SWE; TUN vs JPN,Will Takefusa Kubo score or assist a goal (excluding own goals)? | Will Takefusa Kubo have at least 1 shot on target?
Viktor Gyökeres,21,9,Club goals: Wikipedia 2025-26 Arsenal season goals table. Country starts: researched estimate from Sweden striker role.,2,player_goal;player_shot_on_target,JPN vs SWE; NED vs SWE,Will Viktor Gyökeres score a goal (excluding own goals)? | Will Viktor Gyökeres have at least 1 shot on target in the second half?
Youri Tielemans,1,8,Club goals: Wikipedia player/Aston Villa 2025-26 stats. Country starts: researched estimate from Belgium midfield role.,2,player_shot_on_target,BEL vs IRN; New Zealand vs BEL,Will Youri Tielemans have at least 1 shot on target?
